1579125600.0,8830.61000000,8835.00000000,8824.91000000,8824.91000000,250.54710500,1579125899999,2211593.01417009,1916,32.55095400,287418.40763127,0
1579125900.0,8824.91000000,8825.95000000,8812.66000000,8813.00000000,126.65957500,1579126199999,1117129.96632462,1601,33.86859000,298665.39902282,0
1579126200.0,8813.09000000,8830.00000000,8803.13000000,8828.45000000,252.08434700,1579126499999,2221332.56034069,2282,179.34759500,1580414.93578583,0
1579126500.0,8828.44000000,8851.00000000,8827.89000000,8837.82000000,121.52805300,1579126799999,1074543.93748573,2085,62.37663800,551546.58146939,0
1579126800.0,8838.31000000,8852.05000000,8829.54000000,8852.05000000,270.61275500,1579127099999,2391906.22229122,2997,193.02969400,1706403.62995448,0
1579127100.0,8852.02000000,8860.00000000,8847.12000000,8847.78000000,143.82476200,1579127399999,1273414.47923907,2063,81.06665200,717829.10324968,0
1579127400.0,8847.78000000,8849.91000000,8800.00000000,8841.75000000,243.26503400,1579127699999,2148564.80649293,2288,81.02775000,716417.51697969,0
1579127700.0,8842.66000000,8860.00000000,8841.02000000,8860.00000000,176.77746400,1579127999999,1564921.12533032,1868,130.40103400,1154481.13880932,0
1579128000.0,8860.00000000,8860.00000000,8850.00000000,8851.07000000,137.53804300,1579128299999,1217897.20522909,1671,56.63847800,501635.66945962,0
1579128300.0,8852.28000000,8852.32000000,8820.00000000,8835.41000000,301.41770300,1579128599999,2664786.66486331,2078,82.51530300,729312.35030729,0
1579128600.0,8833.52000000,8849.91000000,8830.68000000,8848.72000000,154.58250700,1579128899999,1366643.03343352,1816,97.77256300,864418.53303424,0
1579128900.0,8849.11000000,8869.32000000,8848.64000000,8860.01000000,286.87113900,1579129199999,2541307.00013569,2300,199.45810200,1766964.79778310,0
1579129200.0,8861.91000000,8876.40000000,8849.23000000,8862.74000000,148.58204700,1579129499999,1317244.96197735,2404,90.42399000,801763.54816883,0
1579129500.0,8863.13000000,8864.97000000,8811.00000000,8839.52000000,218.04032400,1579129799999,1926715.58372646,2996,106.80037900,943910.63188839,0
1579129800.0,8841.85000000,8856.00000000,8830.05000000,8835.31000000,119.03972500,1579130099999,1052918.62694230,1604,54.35225600,480737.25629757,0
1579130100.0,8835.30000000,8842.99000000,8815.01000000,8815.05000000,127.13314600,1579130399999,1122465.27558495,1830,62.01962200,547805.69467507,0
1579130400.0,8815.09000000,8840.31000000,8815.00000000,8838.43000000,82.74680200,1579130699999,730661.76152993,1723,53.93864200,476314.91753892,0
1579130700.0,8838.58000000,8849.00000000,8837.11000000,8840.13000000,59.41747100,1579130999999,525468.33574564,1012,33.15880100,293252.54582129,0
1579131000.0,8840.13000000,8849.94000000,8807.00000000,8818.72000000,306.22835700,1579131299999,2701694.86952397,2292,95.06184000,838922.08417953,0
1579131300.0,8818.80000000,8820.08000000,8800.00000000,8800.14000000,283.64510500,1579131599999,2497797.75040039,2344,86.66079600,763251.20169595,0
1579131600.0,8800.23000000,8826.29000000,8790.76000000,8814.50000000,466.27174800,1579131899999,4105653.14898183,2574,120.67147300,1063600.42619856,0
1579131900.0,8814.48000000,8824.73000000,8801.02000000,8804.88000000,75.28904700,1579132199999,663469.71591834,1377,35.14012100,309697.09709392,0
1579132200.0,8805.07000000,8826.00000000,8804.94000000,8822.94000000,70.29839300,1579132499999,619706.71601804,1200,35.33429200,311512.61460138,0
1579132500.0,8822.41000000,8835.00000000,8819.81000000,8821.41000000,107.60096800,1579132799999,949928.92649085,1527,60.86620600,537379.10801671,0
1579132800.0,8820.01000000,8859.00000000,8820.00000000,8856.72000000,277.95723700,1579133099999,2459073.55933214,3071,170.28274100,1506466.79548283,0
1579133100.0,8856.71000000,8859.81000000,8848.67000000,8849.87000000,241.15497900,1579133399999,2135741.31508329,1748,94.31398000,835246.11411697,0
1579133400.0,8849.87000000,8849.88000000,8815.00000000,8819.17000000,180.85392500,1579133699999,1597376.88730870,1658,64.33860900,568479.76562525,0
1579133700.0,8819.47000000,8822.29000000,8794.42000000,8806.16000000,415.94165900,1579133999999,3662991.91652292,3255,242.58680900,2136441.77489935,0
1579134000.0,8806.17000000,8806.17000000,8751.00000000,8753.24000000,425.69000100,1579134299999,3734191.86478310,4175,148.10909600,1299321.72346896,0
1579134300.0,8756.12000000,8779.82000000,8727.01000000,8734.32000000,427.52431300,1579134599999,3742860.85480515,4336,157.69307000,1381086.05828492,0
1579134600.0,8732.63000000,8756.88000000,8722.00000000,8734.87000000,236.84361500,1579134899999,2069339.86321719,2739,111.92365400,977882.82758667,0
1579134900.0,8734.57000000,8747.00000000,8713.29000000,8731.47000000,293.58691900,1579135199999,2562653.74281182,2594,175.17057400,1528933.48002126,0
1579135200.0,8736.52000000,8755.00000000,8712.27000000,8735.54000000,261.87445400,1579135499999,2288706.14781677,2304,117.26778100,1025434.46592844,0
1579135500.0,8738.17000000,8762.68000000,8736.68000000,8759.65000000,145.36571100,1579135799999,1272533.23560021,1854,91.44071800,800501.52236548,0
1579135800.0,8759.63000000,8773.00000000,8751.55000000,8763.37000000,145.62789900,1579136099999,1276136.44552090,1725,89.42690700,783663.98097843,0
1579136100.0,8764.71000000,8770.55000000,8747.79000000,8761.02000000,175.22980100,1579136399999,1535206.98324430,1778,61.45367300,538492.99456139,0
1579136400.0,8760.67000000,8771.95000000,8750.93000000,8754.59000000,121.00267000,1579136699999,1060291.71177867,1337,57.76055400,506209.20595104,0
1579136700.0,8754.82000000,8758.00000000,8725.00000000,8735.00000000,215.45104000,1579136999999,1883056.91915272,2313,60.61401600,529806.38016918,0
